,TEAM,Net,CONF,G,W,ADJOE,ADJDE,BARTHAG,Gross,PageRank
0,Texas Southern,20.0,SWAC,31,16,98.4,109.8,0.2216,24.0,0.013487616337641534
1,Arizona,18.4,P12,32,21,110.9,91.2,0.904,22.4,0.008619353154803739
2,UTEP,16.5,CUSA,29,17,96.7,98.6,0.4439,16.5,0.009430886707199595
3,South Alabama,12.5,SB,28,20,104.3,103.6,0.5185,21.5,0.008755769204965957
4,Utah Valley,12.0,WAC,27,11,96.1,104.2,0.2843,16.0,0.007983910972751408
5,Baylor,11.0,B12,30,26,114.5,88.4,0.9513,15.0,0.004479709979212418
6,Hartford,11.0,AE,31,18,94.2,100.7,0.3182,15.0,0.01990767148811447
7,UC Santa Barbara,9.8,BW,29,21,104.8,105.8,0.4732,9.8,0.006398932117400918
8,Old Dominion,9.3,CUSA,32,13,98.6,98.0,0.5177,13.3,0.00808675636154379
9,Southern Illinois,9.1,MVC,31,16,98.2,97.3,0.5255,19.1,0.009931072579026028
10,UCF,9.0,Amer,30,16,104.2,98.2,0.6661,25.6,0.008746734931583988
11,Washington,9.0,P12,32,15,105.5,93.3,0.8047,9.0,0.002987384855204676
12,Connecticut,9.0,Amer,31,19,108.6,96.3,0.8001,9.0,0.003600442877816228
13,Radford,9.0,BSth,30,21,104.7,107.3,0.4306,9.0,0.009535627116747106
14,Hofstra,9.0,CAA,33,26,108.9,102.5,0.6663,9.0,0.005794118696005224
15,Iona,8.4,MAAC,29,12,101.5,107.2,0.3493,12.4,0.00519156323905545
16,La Salle,8.0,A10,30,15,99.2,100.1,0.4749,26.0,0.014370974741920962
17,North Carolina Central,8.0,MEAC,28,18,94.0,104.4,0.2304,12.0,0.009911245204956759
18,DePaul,7.8,BE,31,16,102.6,95.3,0.7008,19.2,0.008306268184220223
19,Colgate,7.7,Pat,33,25,106.2,103.4,0.5762,7.7,0.005256012537880491
20,Houston,7.699999999999999,Amer,31,23,112.1,92.2,0.9041,11.7,0.0035483229133160764
21,Albany,7.4,AE,31,14,94.0,103.5,0.2483,11.4,0.007612410030543686
22,Wake Forest,7.3,ACC,31,13,108.8,101.6,0.6877,12.7,0.013813750477402782
23,Clemson,7.199999999999999,ACC,31,16,103.8,93.5,0.7706,28.2,0.013906402473267417
24,Drake,7.199999999999999,MVC,32,20,102.7,101.0,0.5481,11.2,0.006083604027739245
25,Buffalo,7.0,MAC,31,20,104.1,101.8,0.5635,11.0,0.01008030089778824
26,Denver,7.0,Sum,30,7,94.9,106.9,0.2011,7.0,0.006198571828446427
27,Temple,7.0,Amer,31,14,99.7,95.7,0.6138,7.0,0.005536049596293832
28,SMU,6.999999999999999,Amer,30,19,112.9,103.3,0.7372,22.4,0.005142222540752717
29,Akron,6.5,MAC,29,24,107.9,98.8,0.7343,14.5,0.005998677312254133
30,Texas Tech,6.0,B12,31,18,109.9,91.7,0.8891,29.4,0.01008439088972307
31,Nebraska,6.0,B10,32,7,101.4,100.5,0.5281,26.0,0.009378881210378338
32,Tulane,6.0,Amer,30,12,101.5,102.2,0.4781,20.0,0.006689451967136175
33,Tennessee Tech,6.0,OVC,29,9,92.9,108.8,0.1411,14.0,0.006337067792037295
34,Marist,6.0,MAAC,30,7,90.3,103.4,0.1724,10.0,0.01021783305152973
35,Bradley,6.0,MVC,33,23,106.6,100.5,0.6631,6.0,0.004484515651681945
36,Mercer,5.5,SC,30,17,100.4,102.1,0.4531,13.5,0.005978674130352065
37,Elon,5.3,CAA,31,12,101.8,108.9,0.3148,5.3,0.003082590996925669
38,Western Kentucky,5.100000000000001,CUSA,29,20,108.5,103.1,0.6438,22.5,0.008561132097827766
39,Charlotte,5.0,CUSA,29,16,98.8,98.0,0.5226,13.0,0.0040158646402873414
40,Northeastern,5.0,CAA,33,17,105.9,101.2,0.6272,9.0,0.006633953359208485
41,Niagara,5.0,MAAC,32,12,98.9,112.5,0.1854,5.0,0.0062915404325171245
42,Manhattan,5.0,MAAC,31,13,92.1,102.8,0.219,5.0,0.004570636984285196
43,Binghamton,5.0,AE,27,10,98.9,117.1,0.1255,5.0,0.0030674285311966558
44,Austin Peay,4.7,OVC,31,21,106.9,105.9,0.5268,4.7,0.0049307001868161456
45,Louisville,4.5,ACC,31,24,115.1,93.9,0.912,21.9,0.010188715551050222
46,Middle Tennessee,4.5,CUSA,28,8,97.0,108.4,0.217,13.5,0.005730966580686781
47,Gonzaga,4.5,WCC,33,31,121.3,94.3,0.9472,11.5,0.003297437516012237
48,UT Arlington,4.5,SB,30,14,101.4,98.6,0.5794,8.5,0.003255444081829922
49,Southern,4.5,SWAC,30,17,97.0,102.5,0.3466,4.5,0.004214446966005267
50,Saint Louis,4.0,A10,30,23,106.6,93.8,0.8126,18.0,0.00514293382428127
51,Tulsa,4.0,Amer,31,21,102.2,92.7,0.7533,12.0,0.0033687201357574916
52,Xavier,4.0,BE,32,19,106.4,92.1,0.8396,12.0,0.00389069369361958
53,UC Riverside,4.0,BW,29,17,95.7,99.8,0.3842,8.0,0.003199796028254505
54,Vermont,4.0,AE,32,26,105.4,97.1,0.7207,4.0,0.00214584718774758
55,Winthrop,4.0,BSth,32,24,103.6,103.1,0.5136,4.0,0.002068099505258076
56,Maryland Eastern Shore,4.0,MEAC,31,5,82.1,108.0,0.0411,4.0,0.005733287360875534
57,Saint Joseph's,3.8000000000000007,A10,32,6,102.0,109.3,0.3117,23.2,0.010556438481960527
58,Virginia,3.7,ACC,30,23,100.0,85.6,0.8565,11.7,0.0028191305343884523
59,Quinnipiac,3.7,MAAC,30,15,99.5,109.4,0.251,3.7,0.0017784137518795096
60,Butler,3.5,BE,31,22,112.7,94.6,0.8817,15.5,0.006172199396717206
61,George Washington,3.3,A10,32,12,99.1,104.6,0.3502,16.7,0.009166037357015641
62,Siena,3.0,MAAC,30,20,107.1,104.7,0.5636,15.0,0.006668051150578269
63,Evansville,3.0,MVC,31,9,96.9,106.4,0.2548,13.0,0.0023272226334870166
64,IUPUI,3.0,Horz,30,7,98.9,116.7,0.1297,9.6,0.005273553655948321
65,Toledo,3.0,MAC,31,17,106.2,105.6,0.517,9.0,0.0033359172409080885
66,North Carolina A&T,3.0,MEAC,31,17,92.7,101.4,0.2634,7.0,0.003024866440091455
67,Little Rock,3.0,SB,30,21,105.6,102.9,0.5745,7.0,0.006527613255145908
68,Central Michigan,3.0,MAC,29,14,102.0,106.0,0.3922,3.0,0.0017920133350416726
69,Western Carolina,3.0,SC,29,19,106.7,106.5,0.505,3.0,0.0016644038674718414
70,College of Charleston,3.0,CAA,30,17,104.2,104.4,0.4938,3.0,0.0026877308418024846
71,Marshall,2.7,CUSA,31,17,100.9,98.8,0.5603,6.7,0.0054354660487168594
72,Boston College,2.6999999999999993,ACC,32,13,99.7,99.2,0.5169,19.3,0.005825727903694199
73,Delaware,2.5999999999999996,CAA,32,22,106.6,105.4,0.5326,20.6,0.01702372038422218
74,Montana,2.5,BSky,29,18,102.5,100.0,0.5709,6.5,0.0019733891403607615
75,Troy,2.5,SB,29,9,95.4,107.3,0.2051,2.5,0.0038371711898949044
76,Cincinnati,2.1999999999999993,Amer,30,20,108.6,94.8,0.826,15.2,0.006004616104191332
77,North Carolina,2.0,ACC,33,14,108.2,98.3,0.7498,10.0,0.003553305296975315
78,Jacksonville,2.0,ASun,30,14,95.9,102.9,0.3079,10.0,0.002259991958358494
79,Richmond,2.0,A10,31,24,108.5,94.9,0.8249,10.0,0.004560899084578124
80,Creighton,2.0,BE,30,24,120.6,96.4,0.9289,10.0,0.003805859230219897
81,Oral Roberts,2.0,Sum,27,17,107.5,106.2,0.5359,6.0,0.007165148473725299
82,South Dakota,2.0,Sum,29,20,107.6,108.5,0.4753,6.0,0.0036862931297660124
83,Stony Brook,2.0,AE,32,20,95.6,99.5,0.3881,6.0,0.0031670308838228126
84,Alabama A&M,2.0,SWAC,30,8,86.8,108.6,0.0712,6.0,0.0030525963246561877
85,UMBC,2.0,AE,29,16,97.6,106.2,0.2735,6.0,0.002271044276546904
86,Northern Iowa,2.0,MVC,29,25,111.8,99.8,0.7871,2.0,0.0019533981772838008
87,Longwood,2.0,BSth,30,14,91.4,104.8,0.1718,2.0,0.001370843391529323
88,Saint Peter's,2.0,MAAC,30,18,94.8,97.5,0.4191,2.0,0.004345761859067483
89,Loyola Marymount,2.0,WCC,31,11,101.1,102.4,0.4619,2.0,0.0024688572724863153
90,Fairleigh Dickinson,2.0,NEC,29,11,101.8,112.4,0.2422,2.0,0.001450926864535364
91,The Citadel,2.0,SC,27,6,95.3,110.7,0.1511,2.0,0.018059071984331924
92,Prairie View A&M,2.0,SWAC,30,19,95.2,101.6,0.3203,2.0,0.0020483238264261783
93,Saint Mary's,1.7999999999999998,WCC,33,25,114.0,98.8,0.8385,7.2,0.0035742234352053454
94,Nevada,1.799999999999999,MWC,31,19,110.1,100.2,0.7476,30.6,0.013248287635717304
95,Minnesota,1.5999999999999996,B10,31,15,111.9,94.4,0.8764,20.4,0.005600137696379703
96,Milwaukee,1.5,Horz,29,12,96.1,104.4,0.2775,18.5,0.01059272817672553
97,Missouri,1.0,SEC,31,15,103.5,96.4,0.6922,13.0,0.0028492478583614167
98,Fairfield,1.0,MAAC,32,12,89.3,101.5,0.1868,11.0,0.003936314732240283
99,UC Irvine,1.0,BW,30,21,104.9,99.4,0.6485,7.0,0.0013770036586836336
100,American,1.0,Pat,30,16,100.7,103.1,0.4345,5.0,0.002649675620642474
101,Ohio,1.0,MAC,30,17,103.6,101.6,0.5558,5.0,0.0018284241668292261
102,Wagner,1.0,NEC,28,8,97.6,114.1,0.1418,5.0,0.0015598684758029802
103,New Orleans,1.0,Slnd,26,9,99.9,114.8,0.1689,5.0,0.004003807978627092
104,Stetson,0.7999999999999998,ASun,31,16,98.1,107.5,0.2602,5.8,0.00408654005852318
105,Santa Clara,0.7000000000000002,WCC,31,19,102.8,100.1,0.578,10.7,0.01420097763164325
106,Rutgers,0.7000000000000002,B10,30,20,107.5,91.0,0.8711,10.7,0.004189177887841362
107,Stephen F. Austin,0.7000000000000002,Slnd,28,28,103.4,96.9,0.6781,8.7,0.004175027302728707
108,Georgia Tech,0.6000000000000014,ACC,30,17,103.6,91.3,0.8101,18.0,0.0023809702031829813
109,Michigan,0.5,B10,31,19,113.0,93.1,0.9028,6.5,0.0018495019678851014
110,Bowling Green,0.2999999999999998,MAC,29,21,104.4,103.3,0.5282,4.3,0.002129121298674683
111,Dayton,0.0,A10,31,29,119.5,93.4,0.9445,22.0,0.006718295925623909
112,New Mexico,0.0,MWC,32,19,104.3,102.9,0.5397,20.0,0.002309464668052807
113,Purdue,0.0,B10,31,16,109.6,91.6,0.887,10.0,0.0018627847257092901
114,Cal Poly,0.0,BW,28,7,95.9,109.0,0.187,10.0,0.0026050511986882253
115,San Diego,0.0,WCC,31,9,94.0,98.8,0.3596,8.0,0.0024117269505429945
116,Georgia Southern,0.0,SB,31,20,101.1,99.2,0.5552,4.0,0.0020915946485836937
117,Southern Miss,0.0,CUSA,28,9,95.4,102.9,0.2956,4.0,0.0014051648799604834
118,Campbell,0.0,BSth,29,15,97.7,104.3,0.3214,4.0,0.0021289389709619557
119,Canisius,0.0,MAAC,32,12,97.3,106.6,0.2602,4.0,0.0017166361673117475
120,Portland,0.0,WCC,30,9,94.2,103.6,0.2512,4.0,0.001370843391529323
121,Southeastern Louisiana,0.0,Slnd,28,8,93.1,108.2,0.1514,4.0,0.0023238962928752898
122,Pepperdine,-0.09999999999999964,WCC,32,16,107.7,103.4,0.6163,14.9,0.0036300010419907554
123,South Carolina,-0.1999999999999993,SEC,31,18,105.5,94.0,0.7915,34.2,0.015600834337771787
124,Rice,-0.2999999999999998,CUSA,30,15,105.7,107.6,0.4493,15.7,0.004044671083035114
125,Chattanooga,-0.5,SC,31,20,106.8,104.1,0.5718,26.1,0.007809374939264454
126,Belmont,-0.5,OVC,32,26,106.9,99.5,0.6938,5.5,0.0022797526898560914
127,Loyola Chicago,-0.7000000000000002,MVC,31,21,103.8,96.3,0.7031,4.7,0.001875548576573835
128,Monmouth,-1.0,MAAC,31,18,98.4,101.8,0.4041,9.0,0.0033268493820117276
129,Colorado,-1.0,P12,32,21,108.9,94.4,0.8376,5.0,0.002155804977618473
130,Towson,-1.2999999999999998,CAA,30,18,106.3,104.2,0.5579,12.7,0.002844046979004817
131,UTSA,-1.5,CUSA,29,13,104.0,107.5,0.4049,6.5,0.002159099478476951
132,Valparaiso,-1.5999999999999996,MVC,34,19,103.5,102.9,0.5149,19.4,0.00590199481653925
133,Marquette,-1.7000000000000002,BE,30,18,113.9,97.4,0.8581,13.7,0.00164845644352314
134,Oklahoma,-1.7999999999999998,B12,31,19,108.2,93.4,0.8442,11.2,0.00185884847053437
135,Providence,-2.0,BE,31,19,109.3,91.8,0.8812,20.6,0.006603469739753294
136,VCU,-2.0,A10,31,18,104.8,94.1,0.7763,8.6,0.002849910464838174
137,Cornell,-2.0,Ivy,25,7,101.6,110.0,0.2868,6.0,0.001370843391529323
138,Idaho,-2.0,BSky,30,8,93.7,107.2,0.1751,6.0,0.002090935928012089
139,Georgia,-2.0,SEC,31,16,108.7,100.1,0.7211,6.0,0.006769196757725794
140,Oakland,-2.0,Horz,32,14,99.1,104.7,0.3485,6.0,0.0017527741668497067
141,St. Bonaventure,-2.0,A10,30,19,106.6,102.2,0.6205,6.0,0.0049057139728877
142,North Florida,-2.0,ASun,31,21,112.3,110.8,0.5372,6.0,0.0030609038626964887
143,Presbyterian,-2.0,BSth,30,10,97.6,113.8,0.1463,2.0,0.0011305929725111993
144,Lipscomb,-2.0,ASun,30,16,100.8,108.4,0.3037,2.0,0.0011305929725111993
145,Robert Morris,-2.0,NEC,33,20,100.2,103.5,0.4084,2.0,0.0011305929725111993
146,Bucknell,-2.0,Pat,34,14,95.1,102.8,0.2902,2.0,0.0011305929725111993
147,Florida A&M,-2.0,MEAC,27,12,94.8,107.1,0.1965,2.0,0.0011305929725111993
148,North Alabama,-2.0,ASun,28,13,95.2,105.6,0.232,2.0,0.0011305929725111993
149,NJIT,-2.0,ASun,29,9,94.6,104.7,0.2376,2.0,0.0011305929725111993
150,San Francisco,-2.0,WCC,33,22,108.1,97.0,0.778,2.0,0.0011305929725111993
151,North Texas,-2.0,CUSA,29,20,111.6,100.3,0.7717,2.0,0.0011305929725111993
152,North Dakota,-2.0,Sum,30,15,101.8,108.4,0.3257,2.0,0.0011305929725111993
153,Furman,-2.0,SC,29,25,106.6,98.0,0.724,2.0,0.0011305929725111993
154,Brown,-2.0,Ivy,26,15,96.5,99.9,0.4024,2.0,0.0011305929725111993
155,Southern Utah,-2.0,BSky,30,17,97.7,98.9,0.4648,2.0,0.0011305929725111993
156,Eastern Illinois,-2.0,OVC,30,17,98.4,103.3,0.3636,2.0,0.0011305929725111993
157,Wyoming,-2.0,MWC,32,9,94.0,100.0,0.3304,2.0,0.0011305929725111993
158,Northern Colorado,-2.0,BSky,29,22,109.3,101.1,0.7089,2.0,0.0011305929725111993
159,Rider,-2.0,MAAC,30,18,99.0,102.0,0.4157,2.0,0.0011305929725111993
160,Eastern Washington,-2.0,BSky,29,23,104.0,102.0,0.554,2.0,0.0011305929725111993
161,Navy,-2.0,Pat,29,14,98.1,106.4,0.2818,2.0,0.0011305929725111993
162,Green Bay,-2.0,Horz,31,17,105.1,110.0,0.3723,2.0,0.0011305929725111993
163,James Madison,-2.0,CAA,29,9,100.3,110.0,0.2572,2.0,0.0011305929725111993
164,Wofford,-2.0,SC,33,19,104.6,102.8,0.5486,2.0,0.0011305929725111993
165,Oregon,-2.4000000000000004,P12,31,24,117.5,97.4,0.8968,20.4,0.004530559274318857
166,Vanderbilt,-2.5,SEC,32,11,104.6,103.4,0.5332,23.1,0.003320177945122417
167,Northern Illinois,-2.5,MAC,30,18,99.2,100.7,0.4553,8.5,0.006194547071628384
168,Wisconsin,-2.5,B10,31,21,110.9,92.0,0.8952,7.5,0.0035249388109411103
169,Louisiana Tech,-2.5,CUSA,28,22,108.5,97.7,0.7699,6.5,0.0014323247605523676
170,Arkansas,-2.6999999999999993,SEC,32,20,108.9,96.1,0.8084,26.3,0.008218074662008294
171,Kentucky,-2.7,SEC,31,25,112.8,95.2,0.8754,15.3,0.0023564861362190604
172,Boston University,-2.8,Pat,33,21,102.6,103.1,0.4856,6.8,0.0025956643279575727
173,UAB,-2.8000000000000007,CUSA,30,19,101.1,102.0,0.4769,14.8,0.005401382575217038
174,William & Mary,-3.0,CAA,31,21,103.5,104.3,0.4804,15.0,0.004767606858026222
175,Houston Baptist,-3.0,Slnd,29,4,103.5,121.3,0.1388,7.0,0.0049057139728877
176,Drexel,-3.0,CAA,32,14,99.9,106.1,0.3335,7.0,0.0020164143320201278
177,Rhode Island,-3.0,A10,30,21,104.7,94.4,0.7664,7.0,0.0015187693521635241
178,Harvard,-3.0,Ivy,28,21,104.5,98.8,0.6555,3.0,0.0011305929725111993
179,George Mason,-3.0,A10,32,17,101.0,101.2,0.4949,3.0,0.0011305929725111993
180,Indiana,-3.3,B10,32,20,108.1,93.3,0.8444,16.7,0.0076668714356225
181,Notre Dame,-3.3,ACC,32,20,111.2,98.5,0.8006,11.3,0.0013770036586836336
182,Memphis,-3.3000000000000007,Amer,31,21,100.2,89.2,0.7909,17.3,0.005501343123982885
183,Villanova,-3.5999999999999996,BE,31,24,114.0,93.7,0.9045,11.6,0.009227546846959816
184,Eastern Kentucky,-3.7,OVC,31,16,96.6,103.4,0.3135,9.7,0.0030684773982238116
185,Florida Gulf Coast,-3.8000000000000007,ASun,30,10,91.1,102.9,0.1986,19.8,0.007232433652546444
186,Northern Arizona,-3.999999999999999,BSky,28,16,101.7,107.8,0.3373,13.399999999999999,0.0029992968757096756
187,Mount St. Mary's,-4.0,NEC,31,11,96.9,107.5,0.232,12.0,0.017767603601787127
188,Yale,-4.0,Ivy,28,23,107.8,97.8,0.7551,4.0,0.0011305929725111993
189,Seattle,-4.0,WAC,27,14,100.9,104.7,0.3976,4.0,0.0011305929725111993
190,Duke,-4.0,ACC,31,25,115.3,91.9,0.931,4.0,0.0011305929725111993
191,Charleston Southern,-4.0,BSth,30,14,95.8,108.6,0.1917,4.0,0.0011305929725111993
192,Holy Cross,-4.0,Pat,31,3,95.5,117.0,0.0891,4.0,0.0011305929725111993
193,Florida,-4.6000000000000005,SEC,31,19,112.6,95.9,0.864,16.0,0.00252593255177406
194,UNLV,-4.699999999999999,MWC,32,17,107.5,100.1,0.695,21.3,0.003965313966845572
195,Pacific,-4.7,WCC,31,23,103.5,98.2,0.6474,14.100000000000001,0.0019988914664155473
196,Tennessee,-5.0,SEC,31,17,107.3,95.5,0.7914,13.0,0.0024816243614190674
197,Eastern Michigan,-5.0,MAC,28,16,94.8,96.7,0.4436,9.0,0.0025622854158314752
198,UNC Asheville,-5.0,BSth,29,15,99.1,110.6,0.219,5.0,0.0011305929725111993
199,Western Michigan,-5.0,MAC,30,13,98.8,105.6,0.317,5.0,0.0011305929725111993
200,Iowa,-5.199999999999999,B10,31,20,117.2,99.7,0.8653,11.2,0.002564091192334916
201,TCU,-5.699999999999999,B12,31,16,105.2,96.6,0.727,22.3,0.006506379254885356
202,Virginia Tech,-5.7,ACC,32,16,103.3,98.1,0.6429,9.7,0.0020915946485836937
203,Maryland,-6.0,B10,31,24,112.6,94.7,0.8797,6.0,0.0011305929725111993
204,High Point,-6.0,BSth,30,9,94.0,113.7,0.1012,6.0,0.0011305929725111993
205,Syracuse,-6.0,ACC,32,18,113.5,98.6,0.8345,6.0,0.0011305929725111993
206,South Florida,-6.0,Amer,31,14,100.6,95.0,0.6595,6.0,0.0011305929725111993
207,Penn,-6.0,Ivy,26,16,103.4,99.8,0.6003,6.0,0.0011305929725111993
208,Northern Kentucky,-6.199999999999999,Horz,30,23,100.8,101.1,0.4914,10.2,0.0017166361673117475
209,Seton Hall,-6.4,BE,30,21,112.2,93.5,0.8913,10.4,0.0025896760854036203
210,Coastal Carolina,-7.0,SB,31,16,104.4,106.5,0.4417,7.0,0.0011305929725111993
211,Fordham,-7.0,A10,31,9,89.1,94.8,0.3289,7.0,0.0011305929725111993
212,Dartmouth,-7.0,Ivy,28,12,96.6,99.4,0.4172,7.0,0.0011305929725111993
213,St. John's,-7.300000000000001,BE,32,17,106.8,94.7,0.7992,27.3,0.005779337986653621
214,Samford,-7.5,SC,30,10,98.5,113.0,0.1718,11.5,0.001370843391529323
215,Columbia,-7.5,Ivy,29,6,95.7,105.8,0.2392,11.5,0.002295794333174563
216,Auburn,-7.7,SEC,31,25,111.1,96.1,0.8415,14.3,0.00262861535790129
217,Massachusetts,-7.800000000000001,A10,31,14,102.0,101.9,0.5004,14.8,0.0019022500621300848
218,VMI,-8.0,SC,30,9,99.8,107.1,0.3058,8.0,0.0011305929725111993
219,Howard,-8.0,MEAC,31,4,94.3,121.1,0.0533,8.0,0.0011305929725111993
220,East Carolina,-8.0,Amer,31,11,99.2,103.3,0.3861,8.0,0.0011305929725111993
221,Maine,-8.0,AE,30,9,92.9,105.7,0.1861,8.0,0.0011305929725111993
222,Illinois,-8.3,B10,30,21,110.9,93.9,0.8719,12.3,0.0016110938105474465
223,California,-8.3,P12,32,14,101.7,99.4,0.5646,8.3,0.0011305929725111993
224,Northwestern,-9.7,B10,31,8,105.4,100.0,0.6469,17.7,0.002822026293984463
225,Texas,-9.7,B12,31,19,103.3,92.7,0.7761,9.7,0.0011305929725111993
226,West Virginia,-9.8,B12,31,21,107.4,88.6,0.901,13.8,0.0020942879357959687
227,Georgetown,-10.8,BE,32,15,110.2,100.1,0.7505,14.8,0.0029220760549427027
228,LSU,-11.0,SEC,31,21,118.2,102.5,0.8373,15.0,0.0031057533559323038
229,Pittsburgh,-12.7,ACC,33,16,103.2,98.8,0.6225,16.7,0.004345761859067483
230,Alabama,-12.700000000000001,SEC,31,16,111.4,99.2,0.7915,27.9,0.006065908199981477
231,Kansas,-13.2,B12,30,28,116.1,87.7,0.9616,20.2,0.002060987411281082
232,Duquesne,-13.5,A10,30,21,107.0,98.9,0.7118,17.5,0.007919106258505702
233,USC,-14.7,P12,31,22,103.6,91.9,0.799,22.7,0.004091119631660729
234,Stanford,-15.600000000000001,P12,32,20,104.2,90.7,0.8315,15.600000000000001,0.0011305929725111993
235,Texas A&M,-15.7,SEC,30,16,101.2,97.4,0.6083,15.7,0.0011305929725111993
236,Utah,-15.8,P12,31,16,106.1,100.2,0.6573,15.8,0.0011305929725111993
